Description	Label
Functional Web Testing. Writing and executing Manual and Automation test Scripts. Creating and Executing the Test Scripts. Find the defects and prepare the defects sheet along with reporting of issues Interaction with the development team to resolve issues.	Quality Assurance
"Database administration, installation, backup administration, optimization in Informix and Oracle Database, Unix systems."	Database Administrator
Assist the administration team in development and management of new and existing DB applications; Manage the Windows Servers.	Database Administrator
"Project plans and phase wise specific estimates to reengineer, redesign of Business operations, screens, reports, jobs/batch processes and database to develop system to overcome their legacy system drawbacks. Dealt with business team to collect requirements. Developed solution design and Instrumental in streamlining the development process, enforcing coding standards, monitoring code quality / coverage through automated processes and automating build / deployment process. Handled Peer-reviews, validation of the technical architecture/specifications, SQA project audits & all CMP defined quality processes & documentations."	Architect
"Understand, define and analyse the needs and funtionalities of the software to be developped; Dispatch the programming work to the available ressources; Manage the project and the team; Keep up with deadlines and quality; Activily report to the IT manager."	Manager
"Lead the software development process; Work with the Centers management team and lead specialist to capture functional and design requirements; Develop project plans and system architecture in collaboration with the rest of the software development team; Supervise a team of Flash, AJAX and LAMP developers; Organize and implement testing, debugging and deployment."	Manager
"Maintain Oracle systems operations high availability; Install, tune, optimise and troubleshoot Oracle instances; Install Oracle on Linux/UNIX; Write and optimize code in PL/SQL; Monitor and implement SQL*Loader, Imports/Exports, Backup and Recovery strategies; Lead SQL queries and reports."	Database Administrator
Programmer	Software Engineer
Perform daily IT operations; Administrate local network; Work with database; Make reports related to the daily sales.	Manager
Technical Architect	Architect
"Supervise the development of sophisticated applications for financial clients; Understand the client requirements and design their implementation in the .NET platform; Organize and lead the collaboration of his/her team with the team of quantitative analysts; Serve as the liaison between his/her team and development teams in other company locations; Provide leadership and guidance to his/her team of software developers, ensure their continued professional growth; Organize and maintain quality controls to ensure the highest production standards; Manage the team growth and recruitment of new specialists."	Technical Lead
"As a QA engineer with Linux skills you will be responsible for the installation testing, test script development and more QA related work. You will also work early in the development phase and your input is important for the development team."	Quality Assurance
"Medtronic (Minneapolis, MN) Oracle Consultant Jun 2013 to Jan 2015 Responsibilities Performed Cross platform migration for all the versions of database from 9i, 10g to 11g and 12c using Uni-Directional / Bi-Directional GoldenGate replication. Migrated standby, primary and secondary goldengate databases using RMAN backup/restore and recover to SCN strategy. Worked with different application teams to carry out different Migration strategy Performed Cross platform migration for all the versions of database from 9i, 10g to 11g and 12c using Uni-Directional / Bi-Directional Goldengate replication. Migrated standby, primary and secondary goldengate databases using RMAN backup/restore and recover to SCN strategy. Encryption of the entire contents of a tablespace and its tables using TDE techniques. Implemented Oracle 11gr2u4 Grid Infrastructure on 2 node RAC on Oracle Enterprise Linux (OEL) and Red Hat Enterprise Linux (RHEL) from the scratch. Installation and Configuration of Standby for production databases. Performed Database Configuration Tasks like creating tablespaces for data and indexes, adding datafiles to tablespaces, monitoring tablespace size, tuning SGA for optimal database performance, modifying redo log sizes and groups depending on the requirement, monitor v$ views for database related information Oracle monitoring and performance using Oracle recommended tools like OEM Cloud Control 12c , Oracle 10g Grid Control, SQL Tuning Advisor, AWR, ADDM, TKPROF, ASH and Explain Plan Attending daily, weekly and bi-weekly calls with Customer (IT divisions) for discussing on-going activities and upcoming projects. Environment: AIX, HP-UX, RHEL Linux & Windows, Oracle 9i, 10g, 11g, 12c, Dataguard, RAC"	Database Administrator
"Will be responsible for installation and maintenance of IT equipment, network systems, and computers in the projects offices, and for the design and maintenance of databases relating to business contacts, monitoring and evaluation of project activities, and other related duties."	Database Administrator
"Interface with customer and be the single point of contact for all requirements Creation of demo, POC and presentations Estimating implementation effort Conducting requirement gathering meetings and interviews Writing and editing functional documents including Scope of work, Software Requirement Specifications, Business Process Models, Use Cases etc. Managing complete project life cycle Built teams, defined roles, managed resources, coordinated meetings, evaluated risks & issues Facilitated team collaboration & fostered communication; created and managed action item databases Coordinated critical activities, managed engagements & expectations, secured time-critical approvals Overall responsibility for project profitability, resource utilization, recruitment and retention"	Manager
"Manage/design the architecture of the projects within the group Planning together with the team (estimate, dependencies etc) Software development Technical quality of the project Code review within the group Act as a mentor for the team"	Architect
"The incumbent will be responsible for the entire process of development, from feasibility study to design, implementation and delivery to quality assurance group."	Technical Lead
"Assisted in designing, capacity planning, and security and accessibility functions of databases. Implemented procedures for performance optimization and development of database applications. Supported SQL queries and databases by updating and tuning in proper manner. Suggested tools and processes for identification and management of database infrastructure components. Provided technical assistance for establishment and tuning of database servers and migration processes. Formulated strategies and plans for system backup services, recovery and availability schemas. Resolved database related problems by troubleshooting and evaluation of database events. Performed installation and testing of database versions and software products in coordination with systems support teams."	Database Administrator
The responsibilities include but are not limited to the following: Local Area Network Administration and Maintenance; Firewall Management and Antivirus Maintenance; User Administration and Database Maintenance; Web and Mail Server Management and Maintenance; Intranet Management and Maintenance; Web Site Maintenance and Content Management; Office Productivity Applications Maintenance; Workplace Software and Hardware Maintenance and Upgrade; Automation Systems Integration and Maintenance.	Manager
Manual Testing of Window and Web Based Applications. Executing the test script on ECHO (Record and Play Automation tool of Hewitt) Find the defects and prepare the defects sheet Design folder structure of data driven framework. Responsible for creating detailed test cases to test all conditions by adding test data details researched from the Production Database using BF Query.	Quality Assurance
"Responsible for design, development, application and maintainance of test systems."	Quality Assurance
"Analyzed, conducted and implemented physical database designs. Documented and maintained current database patches. Worked to ensure all data are recovered, systems and data integrity are maintained. Conducted audits on the environment and provided capacity planning, best practices guide for future production, development and tests on database administration. Carried out performance assessment test and tuning on the database system."	Database Administrator
DBA/ SQL Developer	Database Administrator
"Organization ConAm Technologies Pvt. Ltd., Gurgaon (Jan 2016 Sept 2016) Multiple Salesforce Implementations, Enhancements and Business Integrations Role Solutions Architect/Program Manager Responsibilities o Responsible for providing Business Solutions Proposal to clients and Technical Guidance to the delivery team. o Consulting and sales engineering o Complete solution delivery comprising of client engagement, requirements analysis, scoping, estimations, solution design and delivery o Technical Design and Development including Data Integration, Consolidation and Enrichment Strategy o Team ramp-up and Project Delivery o Client stake holder management Environment Salesforce.com, Visual Force, Apex, Web Service Integration, Eclipse plug-in for Force.com, Apex Data Loader, Informatica Cloud, Mule soft, Jitterbit, CRM fusion Demand Tools"	Architect
"Be responsible for web content administration; Manage content of website by gathering information and integrating data from other departments; Develop user interface and design standards, including improvement of features, to attract visitors to the website; Work with company staff to identify, index, and make available knowledge resources; Work with internal business and technical managers to fully understand content requirements to design and maintain an optimal interface; Serve as expert consultant to staff on the development of web content in support of companys objectives; Write, edit and create a variety of internal and external publications and marketing brochures for online publication; Perform regular reviews of company web sites and other new media channels to ensure content accuracy, timeliness and relevance; Be responsible for network automation management; Be responsible for web site promotion; Collaborate with team members on developing the procedural and technical means to add new platforms into the automation suite."	Manager
"Preparing Test Cases, Traceability Matrix Interacting with cross applications for getting the data setup and having the claims available for our testing. Integrate and communicate with onsite team members for technical and business requirements Give suggestion to Business regarding Usability of the application which in result accepted as a change request. Hosting defect tracking and Issue discussion calls inviting Business folks as well. Imparted training within team on the functionality of the application"	Quality Assurance
"Involved in Full STLC, Defect Reporting, making test Strategy/plan, Causal Analysis, Post Release Analysis-Analysis of Production Defects and Gap Analysis Managing QA Team, assign task to the Team and monitoring Team daily activity. Creating Requirement Traceability Matrix Involved in review and handover processes Expertise in Analysis of Requirement documents, Design documents & Business Rules. Experience in Mobile Testing [iOS, Android and Blackberry] for the applications functionality Involved in Training, Mentoring Team, and Reporting Handling release implementation (post production testing) Guide project teams in issues related with Travel Domain Frequent interaction with client for requirements and their query solving sessions through various modes like mail or calls Resolve technical and functional problems of the team members. Trained the team on Travel Domain skills"	Quality Assurance
"Develop J2EE applications; Be responsible for data-modeling and database design; Implement user web interface technologies; Interact with business owners, enterprise and system architects, developers, project managers and QA."	Technical Lead
"Deploy, develop and maintain the websites for management and exchange of product informations Programming in HTML and using PHP scripts/programs with MySQL Maintaining security of the sites, developing and implementing an access control system enforcing different levels of access."	Software Engineer
Prepare spatial databases and ArcGIS shape layers for water resources of Armenia; Assist in GIS-based mapping including scanning and digitizing; Contribute to training of counterpart agency staff in database management techniques (GIS and populating databases); Conduct comprehensive populating of State Water Cadastre Information System databases under MS Access.	Database Administrator
"Develop critical framework components/reusable modules; Establish, maintain and adhere to set of development standards and patterns; Document technical findings/decisions and make technical presentations; Maintain, improve and optimize Lycos internal software development process."	Architect
"Involved in the Gathering and analyzing business requirements and help business analyst to create Functional requirement document. Conducted workshops and interviews for business users to formulate work strategies. Business case formulation and analyzing the impact on overall solution delivery to management. Reviewing and managing all the necessary documentation required for the project work. Project management using AGILE methodology and Involved in implementation of the complete solution like task allocation, team managing and tracking. Designing the technical architecture of complete system using latest technology stack. Involved in development of common complex functionality. Delivered the complete solution to client. Client SIT (System Integration Testing) and UAT (User Acceptance Test). Involved in providing training the internal stake holders."	Architect
"Gathering and refining the specifications and requirements based on technical needs and create layout/user interface by using standard HTML/CSS practices Integrated couple of open source JS libraries to display dynamic, automatically organized, customizable network topology views. The library consists of the components Dataset, Timeline, Network, Graph2d and Graph3d Building reusable code and directives/libraries for future use"	Software Engineer
 UI component development using SCSS framework  Working closely with BA and project manager on product road map  Debug the cross browser compatibility issues  Working closely with CTO on front-end architecture design  Story Estimation and impact analysis  Task allocations and prioritization  Code Review	Technical Lead
"Project Description: Servis2 is a (DMS-Dealer Management System) ford warranty and extended service management application for FORD vehicle across the globe. Already launched in 13 markets and looking forward for new market. Executed multiple projects running for servis2. Browser migration toIE11: currently supporting IE8. AA Road side Assistence,PSM Web focus migration: Currently servis2 has oracle reports which need to be migrated to webfocus 8. Implemented SCORE & AGILE methodologies to improve consistency and predictability. Contribution: Analysis/design/Development/assignment. Preparing Technical Specification Document, Interface Document, High Level Design Document, Detailed Design Document. Providing functional knowledge to team members. Code review and code management. Reviewing components that are to be delivered to the client. Interacting with the client and issue analysis. Role / Responsibilities Technical Lead"	Technical Lead
"Operational Service Configuration. Implemented widget structures. Implementing GIS functionalities: Geocoding, reverse Geocoding on Map. Explore, override and enhancement of ESRI direction widget. Proximity analysis of data services. Sharing functionality through social networking. Responsible for GUI designing. UI development for smartphone/tablet using media query. Resolving service tickets from customers. Managing change request and supporting during various testing and go live phase. Direct interaction with client for unplanned requirements and supports."	Software Engineer
"Understand/Analyze Business Requirement. Design Technical solution and Create the Technical Design document. Implementation. Functional Testing, Full Data Testing & UAT Support"	Technical Lead
"The Web Developer/ Programmer will be responsible for writing scripts and programs, generating interfaces, integration of Flash pages and maintaining our worldwide customers databases on daily basis."	Software Engineer
"Supervise the development of sophisticated applications for financial clients; Understand the client requirements and design their implementation in the .NET platform; Organize and lead the collaboration of your team with the team of quantitative analysts; Serve as the liaison between your team and development teams in other company locations; Provide leadership and guidance to your team of software developers, ensure their continued professional growth; Organize and maintain quality controls to ensure the highest production standards; Manage the team growth and recruitment of new specialists."	Technical Lead
"RFB Response and Solutioning for customers requesting for IoT based solutions Develop POCs using the IBM IoT Foundation, IBM BlueMix, Raspberry Pi Vendor Analysis of IoT Platforms ThingWorx, CloudPlugs Program Management and Planning for the Automation Program. Vendor Analysis of Robotic Process Automation Tools. Knowledge Items creation on Arago Autopilot for RPA in Application Management space. Requirement Gathering, Analysis for implementation of RPA within CSC accounts Single handedly developed a Crowdsourcing Platform in Java/J2EE and deployment of the same on AWS Elastic BeanStalk, SSO/Federation using SAML2 Assertion."	Manager
"Manage 7 Maintenance staff tasked with improving equipment and facility reliability in 3 facilities (approx. 160,000 sf total). Passionately coach maintenance team to change behavior from fixing problems to preventing problems through weekly team meetings and individual attention. Manage 1 Process Engineer for molding and packaging operations. Manage a $750K maintenance budget with YOY favorable results through improved production efficiencies, reduced MRO inventories and facility upgrades. Manage implementation of $500K in capital improvement projects. All projects were completed on-time and within budget. Developed and implemented preventive maintenance and inventory programs for all production lines that increased productivity by 10% YOY."	Manager
"The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering, architecture, development and release. The candidate is required to work closely with the other technical members of the international Lycos Billing Platform team."	Software Engineer
"The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering, architecture, development and release. The candidate is required to work closely with the other technical members of the Lycos Mail team in Yerevan as well as in Paris on new and challenging projects."	Software Engineer
"The key elements of the role are full life cycle product development working in a technically strong team through requirements gathering, architecture, development and release. The candidate is required to work closely with the other technical members of the Lycos Communities teams."	Software Engineer
"Maintain Oracle systems operations high availability ; Install, tune, optimize and troubleshoot Oracle instances; Backup and Recovery strategies; Lead SQL queries and reports."	Database Administrator
"Responsible in executing Selenium test scripts on different browsers like Firefox & Google chrome and modification of existing automation scripts. Perform Functional Testing, Regression Testing, UAT, and End-to-End Testing. Enhanced test cases using Java programming and TestNG annotations. Logging of defects using JIRA & QC and communicate with responsible implementation team. Wrote SQL queries, Joins for retrieving correct required test data from database"	Quality Assurance
System architect	Architect
"Responsible for design, development, application and maintainance of test systems."	Quality Assurance
"Manage the engineering team of Spectrum Spatial Analyst, the flagship web mapping solution from Pitney Bowes. One of the key movers behind Mobile First Initiative that helped us expand our presence to close to 40 countries within a span of 2 years. Responsible for defining product vision along with Product Management, Release Planning to execute the vision, Developing a high performing Agile Team and Act as a liaison between Engineering, Product Management and Top Management. Winner of multiple ACE awards"	Manager
Data Extraction and management using BRIO Data updating and data reporting on Oracle Logistics (Oracle EBS). Data Validations and Worksheet Creation. Handling/Resolving customer queries within 30 min TAT Perform database validation using SQL queries Involved in setting up test systems for executing test cycles.	Quality Assurance
"Design test cases; Perform manual and automated testing; Design and develop automated test scripts; Perform GUI, functionality, performance, load, compatibility and usability tests of web applications; Identify, reproduce and report bugs; Verify fixed defects and perform regression tests to ensure the quality of software releases."	Quality Assurance
Defining scope of automation. Test identification and Estimation. Automation Framework development. Test Script development in java and java script. Creating hybrid automation framework and integrating with maven and Jenkins. Performed API testing and Web Services Testing.	Quality Assurance
Conceptualize and develop Flash-based games; Contribute to the innovative development of Flash use and implementation; Maintain familiarity with industry trends and anticipate/recommend design shifts to improve the company's service offerings; Help train and grow Flash designers.	Architect
"End to end delivery of the project including Project Management, Business Analysis, coordination with the business and technology stakeholders. Key projects handled includes e-Signing for Onboarding, Sunday Trading, Intellimatch CLM/ETD implementation, Enterprise Bookkeeping Engine, Repos and TermDeposits. Accountable for gap analysis, requirement gathering and producing the required artefacts including BRD, FRD, UAT approach document and doing the reviews with technology teams. Hosting trainings/workshops for the technology teams."	Manager
"Developed Test Plan, Test Cases, and Test Scripts for Newly developed system. Actively Participated in walkthrough meetings. Managed and conducted ETL and Report testing. Tracked the defects using Quality Centre and generated defect summary reports. Prepared status summary reports with details of executed, passed and failed test cases on daily and weekly basis."	Quality Assurance
"Designing the test plans as per the defined scenarios. Creating and configuring the test data. Test case writing and execution on ITIM. Regular interaction with the onsite team for status updates and issue resolution. Hands on experience of deploying identity solutions using IBM Tivoli Identity Manager. User provisioning and de provisioning in IBM Tivoli Identity Manager. Managed users, their accounts and passwords in IBM Tivoli Identity Manager. Executed Reconciliation and Life Cycle Processes in IBM Tivoli Identity Manager. Executing the various client defined scenarios for the user and verifying their impact on the security of the web application. Currently leading the offshore team of 3 people. Bug tracking and version control. Regular client interaction for status updates and issue resolution. Prepared configuration files. Data validation of values pulled by the parser."	Quality Assurance
" Primary point of contact for all the application related queries and issues  Gather requirement from client and delegate tasks to developers  Involved in designing and planning for new Sharepoint solutions  Development and maintenance of SharePoint applications using OOB features, Custom solutions, JSOM, Powershell , Bootstrap and latest features of Sharepoint 2013  Migration of legacy Yara collaboration portal fromSharepoint 2007 to Sharepoint 2013 using Dell Migration Suite  Configuration and administration related activities on live environment  Troubleshooting of live issues on production environment  Provide support for incidents and service requests by adherence to ITIL process"	Technical Lead
Rendering technical assistance to Database Management Systems; Realization of SQL servers maintenance activities: back-up and replication; Participation in designing of software development projects.	Software Engineer
"Project Title : EzeePay Client : Confidential(Ghana) Production By : Tech Ahead Skill Used : asp.net 4.0 MVC,Angular js 1.2, database sql server 2014. Role Description : Role as Technical Architect .Responsible for define structure of project, api and database.Implemented Secure api communication. Project Details : E-Wallet app having functionality of pay the bill of net,mobile,electricity."	Architect
"Develop and design software systems for a financial company (C#, ASP.NET, Oracle, HTML5 and JS); Analyze new software requirements; Perform object-oriented analysis, design and testing; Create reports from DB (select, procedure and view). Receivable includes: technical requirements documents, use cases and diagrams, class diagrams, activity diagrams, package diagram and project estimates."	Technical Lead
Test the quality of raw materials and final product according to the established norms and quality standards as per assigned schedule; Fill in the relevant register with approprate test results as required by the internal procedures; Inform the QA Manager and Production Supervisor about any deviations from quality standards and norms.	Quality Assurance
Oracle Database Assistant Administrator	Database Administrator
"Create designs for (complex) analog and mixed-signal circuitry; Contribute in realizing analog systems from the design track till the realization on board-level; Execute the validation and define the qualification of the hardware; Characterize, model and optimize analog circuits and building blocks in existing CMOS technologies; Mentor junior engineers and help develop their skills; Lead contact in the communication."	Technical Lead
"Work with customers to ensure that products meet requirements for reliability and quality. Will ensure delivery of designs that meet or exceed customer requirements. Ensure test reports, data and other applicable documentation are complete and in accordance with specifications and purchase order requirements. Design and implement quality process control programs, bug reporting systems, procedures and techniques. Define, integrate and continually improve the design assurance process by suggesting and implementing new strategies on IP design projects."	Quality Assurance
Proposing solution to increase the efficiency of business and reducing the sustain efforts Presenting and interacting with customer on proposed solution Preparation of design and creating document of understanding Estimating the efforts of implementing the solution Code review of developed solution Helping business in UAT	Architect
"Project 1 Saath Saath (SAP Stabilization and AMS Project) Project type  SAP Annual Maintenance support Module Covered IS-MAM, FICO, Basis, MM, PP, SD, HCM, PI, BI Client India Today Group. Project Duration  Nov 2015  Aug 2016 Team Size 20 Project Role Project Manager  Complete ownership for overall strategy and processes, Aggressive transition from existing SAP Partner, P&L management, SLA and metrics management, invoicing, billing, customer satisfaction, performance management and employee retention.  Performed System study to analyse the impact of taking over already implemented SAP system.  Designing the detailed road map, including scope documentation, timelines and budget for gaps identified during system study for sap implemented by previous partner.  Preparing progress reports, presentations for the Steering Committee, to ensure the overall progress and risks involved and acquiring additional business to implement system study points.  Successfully replace service now with SAP Solution manager as service desk thereby saving substantial license cost for client."	Manager
Assist the program management in implementing the Program component related to the development of the State Water Cadastre Information System; Refine and utilize water use guidelines and associated regulations; Assist in designing and populating databases based on MS Access; Design and build database user interface and data entry forms; Design and construct database reports; Conduct comprehensive populating of established cadastral databases; Design and construct data import and export utilities; Assist in GIS-based mapping.	Database Administrator
"I have been working as Technical Architect and the core responsibility are: o Designing the application for Azure Cloud compliance. o Migrate all legacy code in MVC and new modern technology. o Migration of complete application from On-Prime to Azure Cloud. o Database migration from On-Prime SQL to SQL Azure o Design SOA to scale the application across the globe. Code review and Security implementation. Support application end to end on production environment. The technology we have been used o VS 2015, C#, ASP.Net o SQL Azure, Cloud Service, Web Roles, Worker Roles, Storage Account, CDN, Traffic Manager, Azure Service Bus, Rely messaging etc. o Redis Cache Environment: Azure PaaS, SQL Azure, Redis Cache, Service Bus."	Architect
"Make all necessary installations, updates and maintenance of existing servers and user workstations; Provide uninterruptible work of users in office (30 users) and stores in Yerevan and regions (20 stores); Organize new workplaces for new employers upon necessity; Purchase needed equipment, computers, printers etc.; Organize work with internet providers."	Manager
"Create, manage and update project related documentation; Participate in all stages of the software development life-cycle; Schedule, conduct and document project review meetings; Meet established project deadlines; Manage project on a day-to-day basis; Keep project on track; Ensure team awareness on the project goals and needs; Contribute to improvement of development processes; Communicate effectively with the external Project Managers and Local Management."	Manager
"Nov16 Present: Synechron Technologies as Assistant Manager/ Client: Asurion, US Responsibilities:  Provision, operate & maintain CI/CD pipeline Build, provision, administer multi-tenant, scalable applications throughout the life cycle, from development, test and into production and support the IaaS/ PaaS infrastructure. Upgrade, maintain, and improve applications service delivery infrastructure & effectively manage the environment. Manage code repository for Build, deployment and release process.  Service Delivery and Maintenance Articulation, Design and analysis of new & existing functional requirements (entry and exit criteria) on AWS, Pega BPM and legacy platforms.  Stakeholder management  Negotiate key milestone with customer & ensuring timely deliveries. Working at client location & interacting with clients/end users/business partners / stakeholders for BAU support and gathering new functional/technical requirements.  Resource Management Leveraging cross functional synergy, succession planning of teams, productivity management, Mentoring new joiners and peers on business Domain and Technology."	Manager
"Maintain and manage the 1C database, including data entry, verification of general reports; Prepare special reports for Sales department Team leaders, Managers and Top Management; Manage, maintain and print all necessary forms and documents for Sales department according to standard procedures; Update, print and distribute copies of the daily, weekly Field Schedule; Assist Sales department management staff with preparation of documents and materials; Serve as a backup to the Administrative Assistant when necessary; Facilitate communications between members of the Sales department staff, i.e., take messages, pass on information, etc.; Assist Sales department staff in communications between staff members and clients; Support Sales department with the filing and organization of documents and materials; Assist on maintaining all Sales departments and clients files; Attend and translate field meetings whenever necessary; Support Sales department with the written translation of manuals, documents, materials and emails; Assist Sales departments staff with scheduling and appointments when necessary."	Database Administrator
"Create designs for (complex) analog and mixed-signal circuitry; Contribute in realizing analog systems from the design track till the realization on board-level; Execute the validation and define the qualification of the hardware; Characterize, model and optimize analog circuits and building blocks in existing CMOS technologies; Mentor junior engineers and help develop their skills; Lead contact in the communication."	Technical Lead
"Responsible for managing different aspects of project execution including schedule, scope, quality, risk, stakeholder, vendor, resource and integration activities. Facilitation of project activities and communicating project deliverables, milestones, problems etc. to multiple levels of participants and stakeholders Provide leadership over the project team (including Developers, Operations Team, vendors etc). Leading new requirements to design, develop, and implement and follow new systems following established project management methodologies and standards. Identification of resources/ skills required to support project activities. Conducting project team and stakeholder meetings, appropriately elevating issues of scope schedule with the Client and Management. Complete webMethods Administration & server security. Create & execute project work plans & revise (DevOps Technique) as appropriate to meet changing needs & requirements. Conduct risk analysis & prepare mitigation strategies where necessary. Coordinate multidisciplinary activities to ensure that the project deliverables are met. Identify resources needed & work with section heads to assign individual responsibilities. Manage day-to-day operational aspects of a project & scope. Review deliverables prepared by team before passing to client. Effectively apply methodology & enforce project standards. Conduct project review meetings with clients & prepare agendas, meeting minutes & project summaries. Hold regular status meetings with project team. Ensuring the adherence to the delivery dates."	Manager
"VMA was designed using UML (Rational Rose, RUP) and developed using the J2EE architecture, involving EJBs, SOAP XML messaging between C++ and Java, Structs MVC framework, Oracle database and SNMP APIs for Java on JBOSS & WebSphere application server. Used advanced features of JBoss like durable subscribers for JMS, JMX with JDMK and MBeans, JAAS security & Bean Managed Transactions. Analyzed ILOG Rule engine for alarm correlation in this project. Designed and implemented web services (WSAD) for alarms and provisioning. This project was designed for high performance, efficiency and high volume."	Architect
"Produce and maintain clean, high quality code; Work as a part of a software development team; Maintain current knowledge of information technology trends with ability to research and evaluate new applicable directions and technologies; Mentor and coach development team members; provide expert advice and thought leadership for the team; Lead the choosing of application technologies, development standards and CI infrastructure; Lead all the phases of application development."	Technical Lead
"Manage the deliverables of offshore team (22 members) for design and development of new features of the product Involvement in Project Planning, Resource Management, Project Estimation and Scheduling Requirement Gathering, Analysis, Formulating and Reviewing Application specifications Design reviews, Code Reviews, Test Plan Reviews Preparing Technical Specification Document, High Level Design Document, Detailed Design Document."	Manager
"DOITT Role: Technical Architect/Lead Project Summary: Department of Information Technology and Telecommunications(DOITT) is the Newyork City s Government Department which is responsible for Implementing their Software Applications and mentioning them . This department handles numerous city government Agencies which are helping in City Government of Newyork Activities.(for ex,311,911,DOB,,etc) Responsibilities: Working as Research and Technical Development Architect at Mayor s Office Criminal Justice (MOCJ). Govt Agencies which are associating with MOCJ ,Interacting with appropriate agencies technical people and helping them in their data to day activities. Implemented Visualization Dashboards which are required by MOCJ using Dash builder/UFDashbuilder application which free ware of Red hat Jboss Data Virtualization. Attending various agencies meetings and co-ordintating with agencies to Understanding their requirements and helping to Business analysts to understand technical feasibilities and existing system functionalities. Wrote oracle stored procedures, DAOs, Spring MVC Controllers, Property Editors, jQuery and JavaScript. Implemented consistent exception handling for Portfolio web application so as to log all exceptions in a consistent manner. Implemented Google App script features for some of the using JQuery and Ajax calls. Implemented and used various design patterns in our project such as Factory, Antipater s, GWT,Uberfire Frameworks. Extensively worked in Srpingdata with MongoDB project for getting MOCJ Client reports."	Architect
