Description	Label
"Successfully lead a team of four personnel in supporting the Configuration Management, Product Definition, and various other engineering, quality, and manufacturing disciplines, to resolve helpdesk related incidents. Issues associated to resolution of incidents addressed software, data, and customer limitations Ensure all incidents submitted are reviewed, researched and resolved per the business processes (a.k.a. standard work instructions) of the Systems Design and Components Integration business unit at Pratt and Whitney. Effectively use the ACE (Lean and Six Sigma) operating system tools to eliminate unnecessary spending, identify areas for improvement (team performance), and enhance productivity. Provide system level testing and support as required f or new builds/software upgrades to be implemented in the database. Used UNIX, Solaris and AIX, to execute utilities provided by the software vendor support group to modify data, and perform basic administrator functions. Perform basic project management skills to ensure successful planning and execution of all projects assigned."	Database Administrator
 Design and develop test systems;  Troubleshoot and detect bugs in software programs.	Quality Assurance
"Developed Test Plan, Test Cases, and Test Scripts for Newly developed system. Actively Participated in walkthrough meetings. Managed and conducted ETL and Report testing. Tracked the defects using Quality Centre and generated defect summary reports. Prepared status summary reports with details of executed, passed and failed test cases on daily and weekly basis."	Quality Assurance
Implement complex GUI by architecting and designing.	Architect
 Estimate/plan development projects in conjunction with other developers/experts;  Participate in all stages of the software development life-cycle;  Prepare documents and diagrams for programming work;  Develop and fine-tune the LinkGard software development methodology as well as consistently execute the methodology;  Help the organization improve ratings based on a capability-maturity model (i.e. CMMI);  Work with HR to recruit new team members based on current need;  Build up a list of in-house skills and resume-database for all employees that is available for review by management;  Identify growth and learn opportunities by: a) identifying conferences/seminars that can be attended by employees; b) identifying trainings to conduct locally by foreign or local experts; c) ordering books/magazines for developers to further their technical skills.	Manager
" Software quality assurance in accordance with developed requirements;  Commitment to meeting deadline according to a plan;  Keeping rules of team work on a project;  Improving skills, learning new tools and testing technologies."	Quality Assurance
" Gather and produce requirements and designs;  Write and test code for the required product;  Plan software development activities and follow established processes accurately;  Share knowledge, mentor peers, listen and hear team members positions and provide a fair evaluation of different opinions;  Assign build master from development team members;  Prepare the build status report;  Communicate with management and team members effectively;  Keep commitments;  Participate in discussions regarding technical issues;  Work as part of a software development team."	Technical Lead
" Design, implement and support databases,  Implement business rules via stored procedures,  Define user interfaces and functional specifications,  Responsible for database modeling, verifying accuracy of data,  Maintenance and support of databases,  Other duties as assigned."	Database Administrator
" Be responsible for office ATC installation and administration;  If necessary, be responsible for computer and data communications equipment selection and purchase coordination;  Establish and develop relations with mobile, fax and internet communication, service providers."	Manager
 Be responsible for Business-modeling;  Be responsible for Project Requirements analyzing;  Be responsible for system architectural design;  Develop technical and project documentations.	Architect
"Responsible for managing different aspects of project execution including schedule, scope, quality, risk, stakeholder, vendor, resource and integration activities. Facilitation of project activities and communicating project deliverables, milestones, problems etc. to multiple levels of participants and stakeholders Provide leadership over the project team (including Developers, Operations Team, vendors etc). Leading new requirements to design, develop, and implement and follow new systems following established project management methodologies and standards. Identification of resources/ skills required to support project activities. Conducting project team and stakeholder meetings, appropriately elevating issues of scope schedule with the Client and Management. Complete webMethods Administration & server security. Create & execute project work plans & revise (DevOps Technique) as appropriate to meet changing needs & requirements. Conduct risk analysis & prepare mitigation strategies where necessary. Coordinate multidisciplinary activities to ensure that the project deliverables are met. Identify resources needed & work with section heads to assign individual responsibilities. Manage day-to-day operational aspects of a project & scope. Review deliverables prepared by team before passing to client. Effectively apply methodology & enforce project standards. Conduct project review meetings with clients & prepare agendas, meeting minutes & project summaries. Hold regular status meetings with project team. Ensuring the adherence to the delivery dates."	Manager
 Conceptualize and develop Flash-based games;  Contribute to the innovative development of Flash use and implementation;  Maintain familiarity with industry trends and anticipate/recommend design shifts to improve the company's service offerings;  Help train and grow Flash designers.	Architect
"Involved in the preparation of Test Plan, Test Estimation and Exit report. Assigned and coordinated work from offshore. Prepared status summary reports with details of executed, passed and failed test cases on daily and weekly basis. Test case preparation with 100% test coverage. Conducted Knowledge sharing sessions to the new members joined offshore team Actively participated in analyzing defects with the onsite team. Responsible for the preparing and maintaining artifacts like Understanding documents, Defect/Clarification Tracker, Test scripts and Execution of Test cases. Involved in different kinds of testing like Functional, Regression and UAT testing."	Quality Assurance
" User Centered Design: Demonstrate knowledge when performing user-centered design tasks independently and has applied best practices for moderately complex systems;  User Interface Design: Show expertise when applying human factors knowledge to design complex user interfaces across a variety of technology platforms;  Web Concepts: Demonstrate business and conceptual understanding of web applications and assess new technology, platforms and design criteria impacts;  Usability Testing: Direct usability testing and make recommendations to make a state-of-the-art, multi-platform systems;  User Interface Standards and Best Practices: Highest expertise applying industry user interface design standards and best practices to design usable, intuitive and highly complex software applications."	Architect
" Development of front-end view components i.e. slot machine reel with animation, interactive Control buttons, winning combination elements.  Interaction with server and send the user s Interaction Data to server using http methods and Display the possible combinations of winning, money/chips validation which get return by the server response.  Development of Separate Bonus-module/mini-game which loaded when users get Bonus."	Software Engineer
"Understand/Analyze Business Requirement. Design Technical solution and Create the Technical Design document. Implementation. Functional Testing, Full Data Testing & UAT Support"	Technical Lead
 Test a high end banking web application;  Develop testing strategies;  Document errors;  Deploy functional code.	Quality Assurance
" Deploy, develop and maintain the websites for management and exchange of product informations  Programming in HTML and using PHP scripts/programs with MySQL  Maintaining security of the sites, developing and implementing an access control system enforcing different levels of access."	Software Engineer
" Administrater the whole IS infrastructure of all TO (tobacco organization) Armenia offices and DCs;  Perform the disaster recovery, system and user administration of Exchange Server, Active Directory and other Windows 2003 server based systems;  Manage the end-user relations and non-business application requirements of all TO Armenia offices and DCs;  Interact with the rest of the Group IS and third party vendors for operational resolutions;  Administer the locally hosted application databases such as MS SQL;  Manage IS infrastructure and Helpdesk issues and report/ escalate to IS/Market Manager;  Perform the local and Group IS procedures to ensure proper support and control levels;  Execute/ coordinate preventive and active maintenance for the IS equipment of all TO Armenia offices;  Advise/ consult infrastructure, system and IS environment solutions to improve the cost, quality and support structure and implement them."	Manager
 Develop software according to requirements;  Take part in gathering requirements;  Take part in system architecture development;  Participate in planning;  Complete work according to deadlines;  Take part in mentoring other developers professional skills.	Architect
" Make all necessary installations, updates and maintenance of existing servers and user workstations;  Provide uninterruptible work of users in office (30 users) and stores in Yerevan and regions (20 stores);  Organize new workplaces for new employers upon necessity;  Purchase needed equipment, computers, printers etc.;  Organize work with internet providers."	Manager
