Description	Label
" Lead efforts to define system and process requirements specific to user needs;  Lead analysis and review existing system problems. Accept input from others and make recommendations for improvements;  Oversee software integration and interface development;  Streamline processes to maximize utility of existing IT resources;  Help business operations utilize information systems to improve efficiency;  Deploy new performance monitoring and alert services	 focusing on security and protecting the companys and clients data;  Analyze	 report on	 and make recommendations for the improvement and growth of the IT infrastructure and IT systems;  Resolve all project issues including timeline	 scope changes	 software functionality and technology including managing project quality to ensure meeting business requirements."	Manager
" End to end delivery of the project including Project Management	 Business Analysis	 coordination with the business and technology stakeholders.  Key projects handled includes e-Signing for Onboarding	 Sunday Trading	 Intellimatch CLM/ETD implementation	 Enterprise Bookkeeping Engine	 Repos and TermDeposits.  Accountable for gap analysis	 requirement gathering and producing the required artefacts including BRD	 FRD	 UAT approach document and doing the reviews with technology teams.  Hosting trainings/workshops for the technology teams."	Manager
" Lead the software development process;  Work with the Centers management team and lead specialist to capture functional and design requirements;  Develop project plans and system architecture in collaboration with the rest of the software development team;  Supervise a team of Flash	 AJAX and LAMP developers;  Organize and implement testing	 debugging and deployment."	Manager
" Make all necessary installations	 updates and maintenance of existing servers and user workstations;  Provide uninterruptible work of users in office (30 users) and stores in Yerevan and regions (20 stores);  Organize new workplaces for new employers upon necessity;  Purchase needed equipment	 computers	 printers etc.;  Organize work with internet providers."	Manager
 Perform daily IT operations;  Administrate local network;  Work with database;  Make reports related to the daily sales.	Manager
" Be responsible for web content administration;  Manage content of website by gathering information and integrating data from other departments;  Develop user interface and design standards	 including improvement of features	 to attract visitors to the website;  Work with company staff to identify	 index	 and make available knowledge resources;  Work with internal business and technical managers to fully understand content requirements to design and maintain an optimal interface;  Serve as expert consultant to staff on the development of web content in support of companys objectives;  Write	 edit and create a variety of internal and external publications and marketing brochures for online publication;  Perform regular reviews of company web sites and other new media channels to ensure content accuracy	 timeliness and relevance;  Be responsible for network automation management;  Be responsible for web site promotion;  Collaborate with team members on developing the procedural and technical means to add new platforms into the automation suite."	Manager
" Manage and develop detailed project plans and schedules for software development: allocate resources accordingly;  Manage team members responsible for implementing the software system and architecture. Drive their task lists;  Present development goals and updated progress reports;  Work with Technical Support and Quality Assurance to record and report issues from the field	 understand project perspectives	 gather enhancement requests	 and understand and solve implementation issues;  Maintain and recommend software development tools and processes. Evaluate tools requested by developers	 seek improvements in processes	 recommend tools based on industry standards and accepted methodologies."	Manager
"Sprint planning	 daily stand up meeting	 sprint review and retrospection Ensuring that all the user stories are done at the end of every sprint Co-ordination with Functional Team for requirement gathering Ensuring QA validation and getting UAT signoff on time for production promotion Ensuring successful delivery of the project as per scope in SOW and on time"	Manager
"Requirement analysis and helping out team members in estimating the enhancements. Code review of the enhancements. Helping out team members in resolving business incidents Regular interaction with clients current and future activities Demand & Capacity planning	 Cost Review analysis and Forecasting Team management	 task allocation	 escalation handling	 risk identification and mitigation Ensuring on-time delivery of development projects / enhancements"	Manager
" Understand	 define and analyse the needs and funtionalities of the software to be developped;  Dispatch the programming work to the available ressources;  Manage the project and the team;  Keep up with deadlines and quality;  Activily report to the IT manager."	Manager
" Improve all aspects of the technical development cycle	 including functional and technical product specifications	 scrum story breakdown	 testing and quality assurance	 release and management and version control;  Foster a results oriented	 continuous improvement environment based on Agile principles;  Assist European development teams with the creation of the best PM software on the market."	Manager
" Improve all aspects of the technical development cycle	 including functional and technical product specifications	 scrum story breakdown	 testing and quality assurance	 release and management and version control;  Foster a results oriented	 continuous improvement environment based on Agile principles;  Assist US development teams with the creation of the best PM software on the market."	Manager
"RFB Response and Solutioning for customers requesting for IoT based solutions Develop POCs using the IBM IoT Foundation	 IBM BlueMix	 Raspberry Pi Vendor Analysis of IoT Platforms ThingWorx	 CloudPlugs Program Management and Planning for the Automation Program. Vendor Analysis of Robotic Process Automation Tools. Knowledge Items creation on Arago Autopilot for RPA in Application Management space. Requirement Gathering	 Analysis for implementation of RPA within CSC accounts Single handedly developed a Crowdsourcing Platform in Java/J2EE and deployment of the same on AWS Elastic BeanStalk	 SSO/Federation using SAML2 Assertion."	Manager
" Roll out	 maintain	 and repair the IT infrastructure	 including facilities	 hardware	 and software;  Deploy	 operate and support IT systems and resources	 including all using IT equipment (cabling and wiring	 servers	 network	 power supply and wiring closet equipment	 end-user equipment	 software	 etc.)	 remote administering;  Manage users accesses to IT services	 grant and revoke specified accesses and rights; configure users workplaces and mobile devices	 including network connections	 administering the local PABX	 accounts	 mailboxes	 etc.;  Manage IT costs	 resources	 and contractors	 including budgeting and planning	 hardware/software inventory	 local hot stock	 service	 supply and integration contracts	 with guidance from Central IT;  Maintain Central IT procedures	 instructions and job standards	 including execution of reporting requirements	 incidents documentation	 systems/users lists keeping;  Maintain clear communication with the location management and staff	 with Central IT	 with local contractors	 suppliers and service providers;  Participate in IT projects during the whole multi-stage process	 according to level of responsibility."	Manager
"Manage the deliverables of offshore team (22 members) for design and development of new features of the product Involvement in Project Planning	 Resource Management	 Project Estimation and Scheduling Requirement Gathering	 Analysis	 Formulating and Reviewing Application specifications Design reviews	 Code Reviews	 Test Plan Reviews Preparing Technical Specification Document	 High Level Design Document	 Detailed Design Document."	Manager
"Manage the deliverables of offshore team (22 members) for design and development of new features of the product Involvement in Project Planning	 Resource Management	 Project Estimation and Scheduling Requirement Gathering	 Analysis	 Formulating and Reviewing Application specifications Design reviews	 Code Reviews	 Test Plan Reviews Preparing Technical Specification Document	 High Level Design Document	 Detailed Design Document."	Manager
 Estimate/plan development projects in conjunction with other developers/experts;  Participate in all stages of the software development life-cycle;  Prepare documents and diagrams for programming work;  Develop and fine-tune the LinkGard software development methodology as well as consistently execute the methodology;  Help the organization improve ratings based on a capability-maturity model (i.e. CMMI);  Work with HR to recruit new team members based on current need;  Build up a list of in-house skills and resume-database for all employees that is available for review by management;  Identify growth and learn opportunities by: a) identifying conferences/seminars that can be attended by employees; b) identifying trainings to conduct locally by foreign or local experts; c) ordering books/magazines for developers to further their technical skills.	Manager
" Be responsible for office ATC installation and administration;  If necessary	 be responsible for computer and data communications equipment selection and purchase coordination;  Establish and develop relations with mobile	 fax and internet communication	 service providers."	Manager
" Manage the team;  Define	 maintain	 oversee and enforce engineering processes;  Provide project leadership for key projects;  Train and mentor project leaders;  Take responsibility for release dates	 milestones and budgets."	Manager
" Improve all aspects of the technical development cycle	 including functional and technical product specifications	 scrum story breakdown	 testing and quality assurance	 release and management and version control;  Foster a results oriented	 continuous improvement environment based on Agile principles;  Assist US development teams with the creation of the best PM software on the market."	Manager
" Create	 manage and update project related documentation;  Participate in all stages of the software development life-cycle;  Schedule	 conduct and document project review meetings;  Meet established project deadlines;  Manage project on a day-to-day basis;  Keep project on track;  Ensure team awareness on the project goals and needs;  Contribute to improvement of development processes;  Communicate effectively with the external Project Managers and Local Management"	Manager
" Administrater the whole IS infrastructure of all TO (tobacco organization) Armenia offices and DCs;  Perform the disaster recovery	 system and user administration of Exchange Server	 Active Directory and other Windows 2003 server based systems;  Manage the end-user relations and non-business application requirements of all TO Armenia offices and DCs;  Interact with the rest of the Group IS and third party vendors for operational resolutions;  Administer the locally hosted application databases such as MS SQL;  Manage IS infrastructure and Helpdesk issues and report/ escalate to IS/Market Manager;  Perform the local and Group IS procedures to ensure proper support and control levels;  Execute/ coordinate preventive and active maintenance for the IS equipment of all TO Armenia offices;  Advise/ consult infrastructure	 system and IS environment solutions to improve the cost	 quality and support structure and implement them."	Manager
"Responsible for managing different aspects of project execution including schedule	 scope	 quality	 risk	 stakeholder	 vendor	 resource and integration activities. Facilitation of project activities and communicating project deliverables	 milestones	 problems etc. to multiple levels of participants and stakeholders Provide leadership over the project team (including Developers	 Operations Team	 vendors etc). Leading new requirements to design	 develop	 and implement and follow new systems following established project management methodologies and standards. Identification of resources/ skills required to support project activities. Conducting project team and stakeholder meetings	 appropriately elevating issues of scope schedule with the Client and Management. Complete webMethods Administration & server security. Create & execute project work plans & revise (DevOps Technique) as appropriate to meet changing needs & requirements. Conduct risk analysis & prepare mitigation strategies where necessary. Coordinate multidisciplinary activities to ensure that the project deliverables are met. Identify resources needed & work with section heads to assign individual responsibilities. Manage day-to-day operational aspects of a project & scope. Review deliverables prepared by team before passing to client. Effectively apply methodology & enforce project standards. Conduct project review meetings with clients & prepare agendas	 meeting minutes & project summaries. Hold regular status meetings with project team. Ensuring the adherence to the delivery dates."	Manager
"As a Project Manager my key responsibilities are to ensure the following are carried out in accordance with the defined expectations  Progress  deliverables are being completed within the baselined time scales Cost  deliverables are being completed within the baselined cost plan Quality  deliverables are being completed to defined expectations	 first time Performance (Value)  progress is being earned for the expected cost Cash flow  net project cash flow is being achieved as the defined expectations Regulatory  all required statutory and regulatory conditions are being met Reporting  regular and timely reporting of project progress to the sponsors Risk  to proactively manage foreseen project risk	 mitigating as necessary Change  managing changes to the project without unduly affecting the stated objectives and benefits"	Manager
The responsibilities include but are not limited to the following:  Local Area Network Administration and Maintenance;  Firewall Management and Antivirus Maintenance;  User Administration and Database Maintenance;  Web and Mail Server Management and Maintenance;  Intranet Management and Maintenance;  Web Site Maintenance and Content Management;  Office Productivity Applications Maintenance;  Workplace Software and Hardware Maintenance and Upgrade;  Automation Systems Integration and Maintenance.	Manager
"Manage the India development unit for a Financial Analytics solution. The solutions comprises of strategic features including Budget Manager	 Strategic budgeting and Data Modeling. Coordinates Product Release planning	 Scope	 Schedule	 Resource & Risk Management. Work with US counterparts to identify the modules that can be transitioned & executed by offshore. Building a winning team for the product & the organization. Responsible in guiding the team for preparing the analysis details and reviewing the existing application to identify the nice to have and must have functionalities in application. MVVM	 MVP and service oriented architecture for different project module using Silverlight	 WPF and WCF technologies. Process improvement RCA	 Quality metrics	 productivity metrics	 in-house tools/utilities development to reduce manual work & increase efficiency	 focus on Application availability. Initiatives Enhanced the profit opportunities by expanding the team size	 rationalizing NA-India employee ratio & exploring new business horizons/strategies by performing research/POC. Proposed & adopted UI QA automation for the product regression testing."	Manager
 Estimate/plan development projects in conjunction with other developers/experts;  Participate in all stages of the software development life-cycle;  Prepare documents and diagrams for programming work;  Develop and fine-tune the LinkGard software development methodology as well as consistently execute the methodology;  Help the organization improve ratings based on a capability-maturity model (i.e. CMMI);  Work with HR to recruit new team members based on current need;  Build up a list of in-house skills and resume-database for all employees that is available for review by management;  Identify growth and learn opportunities by: a) identifying conferences/seminars that can be attended by employees; b) identifying trainings to conduct locally by foreign or local experts; c) ordering books/magazines for developers to further their technical skills.	Manager
 Be responsible for Business-modeling;  Be responsible for Project Requirements analyzing;  Be responsible for system architectural design;  Develop technical and project documentations.	Architect
" Manage/design the architecture of the projects within the group  Planning together with the team (estimate	 dependencies etc)  Software development  Technical quality of the project  Code review within the group  Act as a mentor for the team"	Architect
" Design and document custom software solutions which include database models	 software architecture	 process flow	 and web navigation;  Produce and maintain accurate documentation and code comments on all aspects of software architecture including functionality	 logical view and processes	 hardware and operating system environment	 interface with other systems	 etc.;  Work with project leader to establish task schedule	 subsystem definition	 task milestones	 technical goals	 and estimated effort;  Mentor the development teams through hands-on assistance as well as formal and informal training;  Review and evaluate the architecture documentation	 design and implementation of the software. Conduct and participate in peer code and documentation reviews."	Architect
" Provide technical leadership and drive the architecture and design solution to to meet business needs;  Ability to look at the ""big picture"" and a forward looking attitude with vision to develop new	 innovative products using new and evolving technologies;  Prototype new product concepts;  Lead the engineering team on the continuous improvement of software infrastructure;  Give presentations to technical and non-technical audiences and articulate complex technical requirements and designs."	Architect
 Conceptualize and develop Flash-based games;  Contribute to the innovative development of Flash use and implementation;  Maintain familiarity with industry trends and anticipate/recommend design shifts to improve the company's service offerings;  Help train and grow Flash designers.	Architect
: Design application as an architect. Created an application that is making queue of various requests and other application to process this data and A web to create various events and format of that related data along with some set of rules to implement on this data to fire related action.	Architect
" Design and implement Java/J2EE based	 database driven web application;  Design and develop software components that fits into layered application framework	 including user interface	 business logic and back-end service/ data access components;  Participate in design discussions	 code reviews and project related team meetings;  Work with other engineers	 Product Management and QA teams to develop innovative solutions that meet business needs with respect to functionality	 performance	 scalability	 reliability and realistic implementation schedules."	Architect
 Develop software according to requirements;  Take part in gathering requirements;  Take part in system architecture development;  Participate in planning;  Complete work according to deadlines;  Take part in mentoring other developers professional skills.	Architect
"Specific tasks and key responsibilities include but are not limited to:  Design and implement RDBMS schemas and data access components;  Design and fine-tune the physical data model for an application;  Create the physical databases for an application;  Design and code software components for web applications;  Troubleshoot and fine-tune databases performance in production to ensure maximum performance;  Develop integration	 replication and backup/ restoration strategies;  Interact with technical managers to facilitate the smooth flow of all technical information."	Architect
 Be responsible for business-modeling;  Be responsible for project requirements analyzing;  Be responsible for system architectural design;  Develop technical and project documentations.	Architect
" Develop databases using MySQL InnoDB tables;  Develop Database Abstraction Layer using PHP mysqli extension;  Read	 understand and modify an existing code."	Architect
"Offshore DigiGrapes team project management using AGILE (SCRUM) methodology. Reviewing and managing all the necessary documentation required for the project work. Involved in framework development for backend services using Web API	 common framework for management portal in MVC 4 and development of complex functionalities. Mentoring team member in development according to bellefield app development framework. Client SIT (System Integration Testing) and UAT (User Acceptance Test)."	Architect
" Develop databases using MySQL InnoDB tables;  Develop Database Abstraction Layer using PHP mysqli extension;  Read	 understand and modify an existing code."	Architect
 Analyze designs and develop architectures for software systems;  Deliver optimized application architecture by translating business requirements into technical attributes;  Understand business and technical goals and constraints;  Articulate solution vision;  Prepare alternative approaches and specify components and interfaces.	Architect
Implement complex GUI by architecting and designing.	Architect
" User Centered Design: Demonstrate knowledge when performing user-centered design tasks independently and has applied best practices for moderately complex systems;  User Interface Design: Show expertise when applying human factors knowledge to design complex user interfaces across a variety of technology platforms;  Web Concepts: Demonstrate business and conceptual understanding of web applications and assess new technology	 platforms and design criteria impacts;  Usability Testing: Direct usability testing and make recommendations to make a state-of-the-art	 multi-platform systems;  User Interface Standards and Best Practices: Highest expertise applying industry user interface design standards and best practices to design usable	 intuitive and highly complex software applications."	Architect
Performed the requirement analysis and estimation of orchestrated services for WPS. Designed and implemented common base utilities and a process delegator framework for invocation of WPS processes. Involved in resource planning and task allocation process to set up an activity based project plan. Assisted the application architect and the principal architect of the project in evolving the right architecture for the program.	Architect
"Involved in the Gathering and analyzing business requirements and help business analyst to create Functional requirement document. Conducted workshops and interviews for business users to formulate work strategies. Business case formulation and analyzing the impact on overall solution delivery to management. Reviewing and managing all the necessary documentation required for the project work. Project management using AGILE methodology and Involved in implementation of the complete solution like task allocation	 team managing and tracking. Designing the technical architecture of complete system using latest technology stack. Involved in development of common complex functionality. Delivered the complete solution to client. Client SIT (System Integration Testing) and UAT (User Acceptance Test). Involved in providing training the internal stake holders."	Architect
 Be responsible for business-modeling;  Be responsible for project requirements analyzing;  Be responsible for system architectural design;  Develop technical and project documentations.	Architect
"Specific tasks and key responsibilities include but are not limited to:  Design and implement RDBMS schemas and data access components;  Design and fine-tune the physical data model for an application;  Create the physical databases for an application;  Design and code software components for web applications;  Troubleshoot and fine-tune databases performance in production to ensure maximum performance;  Develop integration	 replication and backup/ restoration strategies;  Interact with technical managers to facilitate the smooth flow of all technical information."	Architect
 Propose database architecture  Act as a database mentor for all of our teams  Development in the area of databases  Performance tuning in the area of databases	Architect
"Responsible for designing/maintaining application architecture of all Jetstar commercial systems projects. Creating	 Reviewing and managing all the necessary technical documentation required for the project work. Providing technical leadership to development team	 involved in development of framework/ complex common functionalities and code reviews. Technical Presales support	 responding to RFPs and preparing SOWs."	Architect
 Software architecture development.  Writing documentation.  Working according to software requirements.	Architect
 Software architecture development.  Writing documentation.  Working according to software requirements.	Architect
 Design and implement RDBMS schemas and data access components;  Develop strategies for deployment of high performance RDBMS operations;  Design and code software components for web applications;  Develop high performance and scalable algorithms;  Interact with technical managers to facilitate the smooth flow of all technical information;  Interact and train QA Engineers in all technical aspects of the projects.	Architect
 Analyze designs and develop architectures for software systems;  Deliver optimized application architecture by translating business requirements into technical attributes;  Understand business and technical goals and constraints;  Articulate solution vision;  Prepare alternative approaches and specify components and interfaces.	Architect
" Understand Modelling Concepts;  Develop critical framework components/reusable modules;  Establish	 maintain and adhere to set of development standards and patterns;  Document technical findings/decisions and make technical presentations;  Maintain	 improve and optimize Lycos internal software development process."	Architect
"I have been working as Technical Architect and the core responsibility are: o Designing the application for Azure Cloud compliance. o Migrate all legacy code in MVC and new modern technology. o Migration of complete application from On-Prime to Azure Cloud. o Database migration from On-Prime SQL to SQL Azure o Design SOA to scale the application across the globe. Code review and Security implementation. Support application end to end on production environment. The technology we have been used o VS 2015	 C#	 ASP.Net o SQL Azure	 Cloud Service	 Web Roles	 Worker Roles	 Storage Account	 CDN	 Traffic Manager	 Azure Service Bus	 Rely messaging etc. o Redis Cache Environment: Azure PaaS	 SQL Azure	 Redis Cache	 Service Bus."	Architect
"Lead and manage the delivery process for multiple solutions/projects from scoping	 design	 development and launch. Promote best practices in design	 development	 and deployment of major initiatives. Manage the overall performance of the system."	Architect
Responsible for Migration of EDMS from 6.5 SP3 to 7.1 Solution Design and Implementation of EDMS Migration with defined solution Liaison between technical team and customer PMO for smooth execution of project Identify risks and define strategy for mitigating risks during the project lifecycle. Support customer operations team for provision of infrastructure and support for execution of activities in-time Responsible for supporting team for technical issues and overall execution of activities Validation of deliveries to ensure quality. Support User Acceptance Scoping of Change Requests and overall project effort and estimates for scoping	Architect
 Software development according to requirements;  Take part in gathering requirements;  Take part in system architecture development;  Participate in planning;  Complete work according to deadlines;  Take part in mentoring other developers professional skills.	Architect
Proposing solution to increase the efficiency of business and reducing the sustain efforts Presenting and interacting with customer on proposed solution Preparation of design and creating document of understanding Estimating the efforts of implementing the solution Code review of developed solution Helping business in UAT	Architect
"Work migration	 Transition and support services to clients across globe for TELentice (a digital Media product). SPOC for GDC team & Reporting to Delivery Manager  Oceania region. Coordinating with internal/external customers for successful business operations and implementing procedures and service standards for business excellence. Defining & managing requirements working with the business users and stakeholders in project lifecycle. Resource Planning & Management	 Conducting internal process reviews and SQA project audits for ensuring strict adherence to CMP defined quality processes & documentations."	Architect
" Develop critical framework components/reusable modules;  Establish	 maintain and adhere to set of development standards and patterns;  Document technical findings/decisions and make technical presentations;  Maintain	 improve and optimize Lycos internal software development process."	Architect
" Manage/design the architecture of the projects within the group  Planning together with the team (estimate	 dependencies etc)  Software development  Technical quality of the project  Code review within the group  Act as a mentor for the team"	Architect
"Project plans and phase wise specific estimates to reengineer	 redesign of Business operations	 screens	 reports	 jobs/batch processes and database to develop system to overcome their legacy system drawbacks. Dealt with business team to collect requirements. Developed solution design and Instrumental in streamlining the development process	 enforcing coding standards	 monitoring code quality / coverage through automated processes and automating build / deployment process. Handled Peer-reviews	 validation of the technical architecture/specifications	 SQA project audits & all CMP defined quality processes & documentations."	Architect
"Requirement analysis and helping out team members in estimating the project. Helping out team members in setting up POC and Pre-Production environment. Helping out team members in SIT	 Regression Testing Helping out business in UAT Preparation of Cutover Plan of Go-Live Making Go-Live successful"	Architect
 Design and develop test systems;  Troubleshoot and detect bugs in software programs.	Quality Assurance
"As a QA engineer with Linux skills you will be responsible for the installation testing	 test script development and more QA related work. You will also work early in the development phase and your input is important for the development team."	Quality Assurance
" Design	 develop and maintain automated tests;  Run tests and record test results;  Identify	 reproduce and report defects;  Verify defect fixes;  Create and maintain test plans from requirements and design documents;  Maintain other test documentation."	Quality Assurance
" Design test cases;  Perform manual and automated testing;  Design and develop automated test scripts;  Perform GUI	 functionality	 performance	 load	 compatibility and usability tests;  Identify	 reproduce and report bugs;  Verify fixed defects and perform regression tests to ensure the quality of software releases."	Quality Assurance
" Preparing Test Cases	 Traceability Matrix  Interacting with cross applications for getting the data setup and having the claims available for our testing.  Integrate and communicate with onsite team members for technical and business requirements  Give suggestion to Business regarding Usability of the application which in result accepted as a change request.  Hosting defect tracking and Issue discussion calls inviting Business folks as well.  Imparted training within team on the functionality of the application"	Quality Assurance
 Design and develop test systems;  Troubleshoot and detect bugs in software programs.	Quality Assurance
"As a senior QA engineer you are responsible for whole testing projects. It includes tasks such as writing test plan	 performing tests	 writing reports"	Quality Assurance
"Involved in the preparation of Test Plan	 Test Estimation and Exit report. Assigned and coordinated work from offshore. Prepared status summary reports with details of executed	 passed and failed test cases on daily and weekly basis. Test case preparation with 100% test coverage. Conducted Knowledge sharing sessions to the new members joined offshore team Actively participated in analyzing defects with the onsite team. Responsible for the preparing and maintaining artifacts like Understanding documents	 Defect/Clarification Tracker	 Test scripts and Execution of Test cases. Involved in different kinds of testing like Functional	 Regression and UAT testing."	Quality Assurance
 IC design software quality assurance (SQA);  Software quality testing with some guidance from senior level managers and other engineers.	Quality Assurance
" Software quality assurance in accordance with developed requirements;  Commitment to meeting deadline according to a plan;  Keeping rules of team work on a project;  Improving skills	 learning new tools and testing technologies."	Quality Assurance
" Creating Test Plan and Test Cases for all kind of testing in Oman.  Writing End to End Test cases for System Integration.  Daily	 Weekly and Monthly Status Reporting.  Exit Reports at the end of each sprint  Data Migration and Synchronization test for VIS.  Automation using QTP of Regression and Migration test scenarios.  Review Test Scenarios and Test Cases identified by the team.  Involve in the Functional and Technical Analysis during database migration.  Design and execute regression testing suites on impacted systems.  Defect Triage during SIT."	Quality Assurance
Designing scenario test cases of the functionalities according to business rules. Validating the Profile data getting created and migrated for users in the database. Analyzing functionality and proposing appropriate solution according to business rule. Verifying data at the GDS level using Focal Point. Transferring Domain knowledge to the team members Solely handling enhancements that are incorporated in the application as part maintenance. Reporting of the bugs through Mercury Quality Center and Mantis. Preparing presentations Audit and SMR Mentoring and motivating the team for increasing their operational efficiency	Quality Assurance
 Test the quality of raw materials and final product according to the established norms and quality standards as per assigned schedule;  Fill in the relevant register with approprate test results as required by the internal procedures;  Inform the QA Manager and Production Supervisor about any deviations from quality standards and norms.	Quality Assurance
Performed functional testing of an application Developed test cases to test the application manually Compared actual & expected results Categorized bugs based on the severity	Quality Assurance
 Work in close collaboration with the Project Manager to understand the application requirements;  Act as the development team leader to automate test scripts.	Quality Assurance
 Software quality assurance (SQA) of Inegrated Circtuits design;  Software quality testing with some guidance from senior level managers and other engineers.	Quality Assurance
 Provide software quality assurance (SQA) of Inegrated Circtuits design;  Make software quality testing with some guidance from senior level managers and other engineers.	Quality Assurance
"As a QA engineer with Linux skills you will be responsible for the installation testing	 test script development and more QA related work. You will also work early in the development phase and your input is important for the development team."	Quality Assurance
Defining scope of automation. Test identification and Estimation. Automation Framework development. Test Script development in java and java script. Creating hybrid automation framework and integrating with maven and Jenkins. Performed API testing and Web Services Testing.	Quality Assurance
" Software quality assurance in accordance with developed requirements  Taking part in requirements development and analysis  Taking part in testing strategy development	 testing documentation development  Taking part in planning  Commitment to meeting deadline according to a plan  Keeping rules of team work on a project  Improving skills	 learning new tools and testing technologies  Taking part in improving professional level of other team members  Taking part in managing a testing team"	Quality Assurance
"As a senior QA engineer you are responsible for whole testing projects. It includes tasks such as writing test plan	 performing tests	 writing reports"	Quality Assurance
" Manual testing of web applications according to available documentation;  Creation and execution of test-cases (manual and automated)	 other test deliverables preparation;  Assistance to Test Automation team in design and coding of test automation suites when needed."	Quality Assurance
 Test a high end banking web application;  Develop testing strategies;  Document errors;  Deploy functional code.	Quality Assurance
 Test the quality of raw materials and final product according to the established norms and quality standards as per assigned schedule;  Fill in the relevant register with approprate test results as required by the internal procedures;  Inform the QA Manager and Production Supervisor about any deviations from quality standards and norms.	Quality Assurance
 Data Extraction and management using BRIO  Data updating and data reporting on Oracle Logistics (Oracle EBS).  Data Validations and Worksheet Creation.  Handling/Resolving customer queries within 30 min TAT  Perform database validation using SQL queries  Involved in setting up test systems for executing test cycles.	Quality Assurance
"Responsible for design	 development	 application and maintainance of test systems."	Quality Assurance
