Description,Title
"•	Implemented rich and user friendly UI using Bootstrap and HTML5 and CSS3.
•	Implemented various classes and plug in of Bootstrap.
•	Explored and Managed Google api.
•	Dynamically Populate Data to UI and applied filters using jQuery.
•	Implemented share functionality.
•	Create responsive application by using media query and CSS3. 
•	Provide support on all browsers, tablets and smart phones.
•	Provided support and Implemented google Map functionality in other projects also.
•	Implement various form using Bootstrap, HTML and jQuery.",Software Engineer
"•	Requirement analysis and helping out team members in estimating the enhancements.
•	Code review of the enhancements.
•	Helping out team members in resolving business incidents
•	Regular interaction with clients current and future activities
•	Demand & Capacity planning, Cost Review analysis and Forecasting
•	Team management, task allocation, escalation handling, risk identification and mitigation
•	Ensuring on-time delivery of development projects / enhancements
",Manager
"?	     End to end delivery of the project including Project Management, Business Analysis, coordination with the business and technology stakeholders.
?	    Key projects handled includes e-Signing for Onboarding, Sunday Trading, Intellimatch CLM/ETD implementation, Enterprise Bookkeeping Engine, Repos and TermDeposits.
?	    Accountable for gap analysis, requirement gathering and producing the required artefacts including BRD, FRD, UAT approach document and doing the reviews with technology teams.
?	    Hosting trainings/workshops for the technology teams.",Manager
"•	I have been working as Technical Architect and the core responsibility are:
o	Designing the application for Azure Cloud compliance.
o	Migrate all legacy code in MVC and new modern technology.
o	Migration of complete application from On-Prime to Azure Cloud.
o	Database migration from On-Prime SQL to SQL Azure
o	Design SOA to scale the application across the globe.
•	Code review and Security implementation.
•	Support application end to end on production environment. 
•	The technology we have been used
o	VS 2015, C#, ASP.Net 
o	SQL Azure, Cloud Service, Web Roles, Worker Roles, Storage Account, CDN, Traffic Manager, Azure Service Bus, Rely messaging etc.
o	Redis Cache
•	Environment: Azure PaaS, SQL Azure, Redis Cache, Service Bus.",Architect
"Understand/Analyze Business Requirement. Design Technical solution and Create the Technical Design document. Implementation. Functional Testing, Full Data Testing & UAT Support",Technical Lead
"•	Lead and manage the delivery process for multiple solutions/projects – from scoping, design, development and launch.
•	Promote best practices in design, development, and deployment of major initiatives.
•	Manage the overall performance of the system.",Architect
"Responsible  for managing  different  aspects  of project  execution  including schedule, scope, quality, risk, stakeholder, vendor, resource and integration activities.
•	Facilitation of project activities and communicating project deliverables, milestones, problems etc. to multiple levels of participants and stakeholders
•	Provide leadership over the project team (including  Developers, Operations Team, vendors etc).
•	Leading  new  requirements  to  design,  develop,  and  implement  and  follow  new  systems following established project management methodologies and standards.
•    Identification of resources/ skills required to support project activities.
•  Conducting  project  team and stakeholder  meetings,  appropriately  elevating  issues  of scope schedule with the Client and Management.
•  Complete webMethods Administration & server security.
•  Create  &  execute  project  work  plans  &  revise (DevOps Technique)  as  appropriate  to  meet  changing  needs  &
requirements.
•  Conduct risk analysis & prepare mitigation strategies where necessary.
•  Coordinate multidisciplinary activities to ensure that the project deliverables are met.
•  Identify resources needed & work with section heads to assign individual responsibilities.
•  Manage day-to-day operational aspects of a project & scope.
•  Review deliverables prepared by team before passing to client.
•  Effectively apply methodology & enforce project standards.
•  Conduct project review meetings with clients & prepare agendas, meeting minutes & project summaries.
•  Hold regular status meetings with project team.
•  Ensuring the adherence to the delivery dates.",Manager
"•	Offshore DigiGrapes team project management using AGILE (SCRUM) methodology.
•	Reviewing and managing all the necessary documentation required for the project work.
•	Involved in framework development for backend services using Web API, common framework for management portal in MVC 4 and development of complex functionalities.
•	Mentoring team member in development according to bellefield app development framework.
•	Client SIT (System Integration Testing) and UAT (User Acceptance Test). ",Architect
"•	Gathering and refining the specifications and requirements based on technical needs and create layout/user interface by using standard HTML/CSS practices
•	Integrated couple of open source JS libraries to display dynamic, automatically organized, customizable network topology views. The library consists of the components Dataset, Timeline, Network, Graph2d and Graph3d
•	Building reusable code and directives/libraries for future use",Software Engineer
"Ensured that all production databases are running efficiently 24/7.
Implemented appropriate backup and restore strategies to protect all data assets.
Monitored database performance, tracked and stored procedures and queries’ execution times and implemented improvements on efficiency.
Responded to and resolved all database access and performance issues.
Configured SQL Server for optimum performance.
Oriented other database administrators on SQL Server management including upgrades and migration.",Database Administrator
"?	Worked as a technical lead responsible for delivering a web based application(MS technologies) for “Ministry of Health”, India for controlling malaria & has been implemented successfully across all states and 542 districts in India. 
?	Contributing in various activities including Requirement gathering, Application Design & Development, Deployment, and Implementation & Client Trainings.
?	Technology expert on MS .NET technologies helping other projects with-in Organization in terms of application design & architecture along with technical guidance and participation in sales bid proposal for some of domestic clients.",Technical Lead
"•	Performed the requirement analysis and estimation of orchestrated services for WPS. Designed and implemented common base utilities and a process delegator framework for invocation of WPS processes.
•	Involved in resource planning and task allocation process to set up an activity based project plan.
•	Assisted the application architect and the principal architect of the project in evolving the right architecture for the program.",Architect
"Participation with the team members, doing application analysis, development and modification along with providing design recommendations for developing and integrating programs per written specifications.
•	Responsible for delivering integration programming solutions to meet client specific requirements related to B2B platform.
•	Client interaction, designing, analysis, development, debug and documenting programming to satisfy business requirements.",Technical Lead
"•	Involved in the analyzing business requirements and current system functionality and 
•	Conducted workshops and interviews for business users to formulate work strategies. 
•	Business case formulation and analyzing the impact on overall solution delivery to management.
•	Expertise in project management, effort estimation using use case breakdown analysis.
•	Involved in knowledge transfer and hand holding to the offshore team for managing development environment.
•	Reviewing and managing all the necessary documentation required for the project work.
•	Involved in implementation of the complete solution like task allocation, team managing and tracking. 
•	Client SDN (Software Delivery Note) and UAT (User Acceptance Test).
•	Involved in training the internal stake holders for TARGET.
",Technical Lead
"•	Project plans and phase wise specific estimates to reengineer, redesign of Business operations, screens, reports, jobs/batch processes and database to develop system to overcome their legacy system drawbacks.
•	Dealt with business team to collect requirements. Developed solution design and Instrumental in streamlining the development process, enforcing coding standards, monitoring code quality / coverage through automated processes and automating build / deployment process.
•	Handled Peer-reviews, validation of the technical architecture/specifications, SQA project audits & all CMP defined quality processes & documentations.",Architect
"•	Manage the deliverables of offshore team (22 members) for design and development of new features of the product
•	Involvement in Project Planning, Resource Management, Project Estimation and Scheduling
•	Requirement Gathering, Analysis, Formulating and Reviewing Application specifications
•	Design reviews, Code Reviews,  Test Plan Reviews
•	Preparing Technical Specification Document, High Level Design Document, Detailed Design Document.",Manager
"•	Associate PM for T&M engagement for US Insurance client (www.goldenrule.com) to do requirement analysis, resource planning and quality process management. Also coordinated project UAT and delivery plan with onsite associates.
•	Individual Contributor to design, develop and setup workflow using Kofax for Australian Insurance client (www.tiofi.com.au) to automate Insurance claim forms processing; wherein any new Insurance Claim form is scanned and the metadata captured using Kofax Batch Classes & stored into SQL Server database.
•	Project leader to upgrade web based global portal (www.hotelclub.com) offering hotel and accommodation for up to 12 months in advance from ASP 3.0 to ASP.Net for Australian client (Flairview Travel Pty Ltd).",Architect
"Increased institutional effectiveness by performing data analysis developing high level reports using SQL and PL/SQL for Office of the Deans and College of Education fulfilling program evaluation and accreditation initiatives. Communicated with internal and external constituents gathering business requirements ensuring feasibility. Increased operational efficiency by implementing Educator Preparation Reform System according to Systems Development Life Cycle.

Increased service satisfaction by training end users on Business Intelligence reporting software.
Managed Livetext database by data manipulation, administering accounts, security, passwords ensuring data integrity.
Modeled historical and trend data for President's budget forecast analysis, Dean Interview Committee, Alumni Events, Graduation Comparison rates.
Collected and compiled enrollment data for Online U.S. World News, U.S. World News, Professional Education Data System and Institutional Post-Secondary Data System survey submissions.",Database Administrator
"?	Development of Dynamic Websites / Gallery application in Flash, Actionscript 3.0/2.0
?	Using Http methods to send data to server 
?	Updating user interfaces/pages on response of server 
?	Development of Reusable Component",Software Engineer
"•	Involved in Full STLC, Defect Reporting, making test Strategy/plan, Causal Analysis, Post Release Analysis-Analysis of Production Defects and Gap Analysis
•	Managing QA Team, assign task to the Team and monitoring Team daily activity.
•	Creating Requirement Traceability Matrix
•	Involved in review and handover processes 
•	Expertise in Analysis of Requirement documents, Design documents & Business Rules. 
•	Experience in Mobile Testing [iOS, Android and Blackberry] for the applications functionality
•	Involved in Training, Mentoring Team, and Reporting 
•	Handling release implementation (post production testing)
•	Guide project teams in issues related with Travel Domain
•	Frequent interaction with client for requirements and their query solving sessions through various modes like mail or calls
•	Resolve technical and functional problems of the team members.
•	 Trained the team on Travel Domain skills ",Quality Assurance
"included customer interaction, requirement understanding, creating scope and estimation documents, configuring demos & POCs, writing functional documents, preparing and conducting presentations, Project Planning, and overall delivery and project management. Scope of responsibilities included working in various time zone of US and Australia.",Architect
"?	Implementing multi activity purchase functionality in single itinerary
?	Build admin tool for marketing team to create customized theme based pages
?	Adding new functionalities as test and learns to improve the end user experience
?	Simplifying existing processes and framework of unit testing using TestNG
?	Providing support on the live site issues
?	Responsive UI development (JSP, HTML, Tag Libraries, CSS, JavaScript, JQuery, Backbone.js, Handlebar Template)",Software Engineer
"•	Developed Test Plan, Test Cases, and Test Scripts for Newly developed system. 
•	Actively Participated in walkthrough meetings. 
•	Managed and conducted ETL  and Report testing.
•	Tracked the defects using Quality Centre and generated defect summary reports.
•	Prepared status summary reports with details of executed, passed and failed test cases on daily and weekly basis.",Quality Assurance
"•	Transition manager acted as interface with Perpetual’s Senior Management, Business & IT team to facilitate KT for different applications to Offshore GDC Team resources.
•	Handled project execution and applications tickets (SR and Incidents) resolution remotely (offshore).
•	Managing day-to-day team and project issues to ensure adherence to all appropriate standards.
•	Resource management and defined project roles & responsibilities of team to handle applications.",Manager
"Served as DBA or project lead in the completion of 80+ medium- to large-scale implementations, managing projects from business requirements analysis to solutions delivery and support.
Managed a $1.2 million data-integration project for financial services firm that consolidated information from accounting applications, third-party market data and internal equities/fixed income applications.
Contributed to furniture retailer’s 15% revenue growth in 2016 by standardizing content from disparate databases, enabling sales and support staff to quickly respond to customer requests.
Created Web-enabled, group-scheduling system for a large university, allowing students to view and print schedules for current and future semesters. Delivered solution on time, on spec and on budget.
Innovated time-saving, robust employee data-intake system that automated database update functions, enabling new salary and process-exception information to be automatically populated.
Developed and tested storage strategies and disaster-recovery plan for large manufacturing company’s operational database, delivering solution that guaranteed recovery performance and high availability.
Enhanced users’ understanding of database systems by conducting pre-implementation workshops, delivering group and individual training sessions and creating user-friendly training materials.",Database Administrator
"?	Create Test Plan and Test Strategy for Memotech.
?	Imparted Product Training to Sales Force, Vendors, Partners, team members and intermediate users.
?	Interacting with Customers for their early feedback and resolution of issues
?	Complete ownership of testing Admin tool for Memotech.
?	Integration Testing with Oracle PPM, Oracle FM with Memotech and other industrial tools.
?	Assessed continuous improvements for various work scenarios and suggest them to management for adopting them to improve overall productivity and efficient utilization of various resources
?	Oversaw the Quality procedures related to the project and performed quality audits to ensure templates, procedures and methodologies are adhered to International standards.
?	Update , maintenance of automation framework for Memotech 5.x
?	Developed and implemented various testing strategies for oracle EBS systems.
?	Database Migration testing using Robot Framework.
?	Logging Defect and Software version maintenance through JIRA
?	Involved in build deployment / debugging activities on Linux servers using Unix commands.
?	Performed DB migration and Synchronization test from Memotech 5.x to Memotech 6.0 ",Quality Assurance
"?	Played role of technical lead responsible for the design, development and implementation of web-based computing systems using .Net platform. Assisted Project Manager in managing project workload, schedules and deliverables. 
?	Contributing & delivering various fix bid projects for key client like American Honda Motors.
?	Part of technical panel for hiring senior technical resources (MS technologies) at Organization level. 
?	Part of various audit programs and assessment team for CMM level 5 certifications.",Technical Lead
"Responsible for Oracle 9i logical and physical database design, implementation, and maintenance on Windows NT
Created new databases and users: set up backups, export, and other monitoring scripts
Implemented database refresh using full export for table level and full database defragmentation, resulting in improved performance and effective space management.
Managing database security. Design, develop, and implement automated data backup and restoration procedures. Provide technical support for database maintenance and disaster recovery
Identify, recommend, and implement all new database technologies and Oracle license management.",Database Administrator
"•	Offshore Polaris Chennai team project management using AGILE methodology.
•	Reviewing and managing all the necessary documentation required for the project work.
•	Involved in implementation of the complete solution like task allocation, team managing and tracking.
•	Involved in hands on development of complex functionalities and road blocker bug fixes. 
•	Client SIT (System Integration Testing) and UAT (User Acceptance Test). ",Technical Lead
"?	Worked actively in SITA GSL OMAN Phase 3, Phase 2.5 and Phase 2.0 Enterprise Product consisting of a Web Application, Server, Client and Mobile application Portal.
?	As an Individual contributor in the domain of Product Quality Assurance, Customer training and support, Feature Designing, mentoring fellow team members in one of the market leading software product.
?	Oversaw the Quality procedures related to the project and performed quality audits to ensure templates, procedures and methodologies are adhered to International standards.
?	Appreciated for taking lead for the changes introduced in automation and improved the productivity of the team.
?	Automated the customer workflows for GSL Automation and executing them in production like environment.",Technical Lead
"?	Development of front-end view components i.e. slot machine reel with animation, interactive Control buttons, winning combination elements.
?	Interaction with server and send the user’s Interaction Data to server using http methods     and Display the possible combinations of winning, money/chips validation which get return by the server response.
?	Development of Separate Bonus-module/mini-game which loaded when users get Bonus.",Software Engineer
"Design of multi-tier web based application. Design and end to end implementation of all the modules in robust and scalable manner.
•	Infrastructure setup, deployment and performance tuning activities.
•	Requirement gathering and analysis. Assistance in Project schedule generation and Updation.",Software Engineer
"Manage the India development unit for a Financial Analytics solution. The solutions comprises of strategic features including Budget Manager, Strategic budgeting and Data Modeling.
•	 Coordinates Product Release planning, Scope, Schedule, Resource & Risk Management.
•	 Work with US counterparts to identify the modules that can be transitioned & executed by offshore.
•	 Building a winning team for the product & the organization.
•	 Responsible in guiding the team for preparing the analysis details and reviewing the existing application to identify the nice to have and must have functionalities in application.
•	 MVVM, MVP and service oriented architecture for different project module using Silverlight, WPF and WCF technologies.
•	 Process improvement – RCA, Quality metrics, productivity metrics, in-house tools/utilities development to reduce manual work & increase efficiency, focus on Application availability.
Initiatives
•	 Enhanced the profit opportunities by expanding the team size, rationalizing NA-India employee ratio & exploring new business horizons/strategies by performing research/POC.
•	 Proposed & adopted UI QA automation for the product regression testing.",Manager
"•	Implemented dynamically create Form by using Bootstrap and HTML5 based on editable Feature Services Data. 
•	Implemented various classes and controls of Bootstrap such as DateTime Picker, Touch Spinner, various Input controls based on Datatypes.
•	Populate Data in the controls by using JavaScript, jQuery, Dojo toolkit.
•	Implemented GeoCoding on Map to find current location of the user in the Form.
•	Implemented file attachments in the Form.
•	Create responsive application by using media query and CSS3. 
•	Provide support on all browsers, tablets and smart phones.",Software Engineer
"Work with the development team to resolve bug-fixes and assist in relevant testing through various environments
Conduct performance reviews and contribute to performance feedback for all levels of staff
Monitor SQL server and database performance and proactively address potential performance issues
Review, design, and develop data models in conjunction with application development teams
Working knowledge of PowerShell and/or .NET Framework
Provide solutions for database issues including capacity, redundancy, replication, and performance
Assist in developing strategic technical/architectural plans for the SQL database and web applications infrastructure",Database Administrator
"·	Leading and facilitating the daily Scrum Meetings, provide daily status of team and highlight any blocker/issues
·	Facilitating release Planning Meeting, Sprint Planning Meeting
·	Mentoring team on process and new technologies
·	Task assignment and tracking
·	Ensuring that team members execute their deliverables 
·	Documenting and communicating overall project status and Weekly Status Reports
·	Delivery and implementation 
·	Onsite/Offshore co-ordination
·	POCs for upcoming/new projects
·	Effort estimations	
·	Requirement Analysis and Design
·	Impact analysis of change requests 
·	Facilitating and leading bug prioritizing meetings",Technical Lead
"•	Proposing solution to increase the efficiency of business and reducing the sustain efforts
•	Presenting and interacting with customer on proposed solution
•	Preparation of design and creating document of understanding
•	Estimating the efforts of implementing the solution
•	Code review of developed solution
•	Helping business in UAT",Architect
"•	Provided full-stack UX oversight to produce a robust mobile data collection solution.
•	Researched and presented UX and UI design recommendations; leveraged CogTool, R, and Gephi to model user touch/click-path behavior.
•	Field Mobile Usability Testing with Morae (Manager and Observer).
•	Invited Speaker for World Information Architecture Day (WIAD 2016), Boise and Global Streamed event, hosted by Healthwise.",Manager
